"","X","GPA","HSGPA","SATV","SATM","Male","HU","SS","FirstGen","White","CollegeBound"
"1",1,3.06,3.83,680,770,1,3,9,1,1,1
"2",2,4.15,4,740,720,0,9,3,0,1,1
"3",3,3.41,3.7,640,570,0,16,13,0,0,1
"4",4,3.21,3.51,740,700,0,22,0,0,1,1
"5",5,3.48,3.83,610,610,0,30.5,1.5,0,1,1
"6",6,2.95,3.25,600,570,0,18,3,0,1,1
"7",7,3.6,3.79,710,630,0,5,19,0,1,1
"8",8,2.87,3.6,390,570,0,10,0,0,0,0
"9",9,3.67,3.36,630,560,0,8.5,15.5,0,1,1
"10",10,3.49,3.7,680,670,0,16,12,0,1,1
"11",11,3.25,3.53,380,470,0,18,7,0,0,1
"12",12,3.18,3.48,630,670,0,26.5,1.5,0,0,1
"13",13,3.85,3.81,680,740,1,34,0,0,1,1
"14",14,2.58,3.38,710,750,1,8,3,0,1,1
"15",15,3.5,3.8,670,650,0,20,3,0,1,1
"16",16,3.17,3.55,580,690,0,14,3,0,1,1
"17",17,2.74,3.4,510,610,0,11,10,0,1,1
"18",18,3.42,3.76,690,670,0,4,17,1,1,1
"19",19,2.9,3.74,660,640,0,3,18,0,0,1
"20",20,3.16,3.83,580,640,1,4,14,0,1,1
"21",21,3.78,3.98,720,730,1,7,6,0,1,1
"22",22,2.72,3.44,550,570,0,15,3,0,0,1
"23",23,2.81,3.59,580,630,1,16,6,0,1,1
"24",24,3.56,3.6,690,710,1,8,10,0,1,1
"25",25,3.3,3.56,700,640,1,10,10,0,1,1
"26",26,4,4,450,640,1,22,11,0,0,1
"27",27,3.4,3.2,630,770,1,6,12,0,1,1
"28",28,2.29,3.3,630,450,0,16,4,0,0,1
"29",29,3.2,3.25,590,670,0,0,18,0,1,1
"30",30,2.58,3.38,500,430,0,5,3,1,0,1
"31",31,3.11,3.94,620,640,1,17,6,0,1,1
"32",32,3,2.8,530,700,0,9,7,0,1,1
"33",33,3,3.7,620,740,1,7,18,0,1,1
"34",34,3.61,3.46,680,720,1,13,12,0,1,1
"35",35,3.53,3.99,610,630,0,26,3,0,0,1
"36",36,2.59,3.59,580,550,0,4,17,1,0,1
"37",37,3.71,4,570,530,0,25,4,0,1,1
"38",38,3.26,3.78,710,690,1,8,12,0,1,1
"39",39,2.1,3.48,580,630,0,15,10,0,1,1
"40",40,3.79,3.9,670,690,1,5,3,0,1,1
"41",41,3.43,3.12,640,660,1,12,0,0,1,1
"42",42,3.13,3.2,610,650,1,14,6,0,1,1
"43",43,3.41,3.83,640,780,1,29,3,0,1,0
"44",44,2.23,2.82,600,710,0,18,7,0,1,1
"45",45,3.16,3.61,570,550,0,14.5,8.5,0,1,1
"46",46,3.48,3.4,690,720,0,22,6,0,0,1
