school,sex,age,Medu,Fedu,traveltime,studytime,famsup,activities,internet,famrel,goout,health,absences,G1,G2,G3,GPA
GP,F,18,4,4,2,2,no,no,no,4,4,3,6,5,6,6,1.133333333
GP,F,17,1,1,1,2,yes,no,yes,5,3,3,4,5,5,6,1.066666667
GP,F,15,1,1,1,2,no,no,yes,4,2,3,10,7,8,10,1.666666667
GP,F,15,4,2,1,3,yes,yes,yes,3,2,5,2,15,14,15,2.933333333
GP,F,16,3,3,1,2,yes,no,no,4,2,5,4,6,10,10,1.733333333
GP,M,16,4,3,1,2,yes,yes,yes,5,2,5,10,15,15,15,3
GP,M,16,2,2,1,2,no,no,yes,4,4,3,0,12,12,11,2.333333333
GP,F,17,4,4,2,2,yes,no,no,4,4,1,6,6,5,6,1.133333333
GP,M,15,3,2,1,2,yes,no,yes,4,2,1,0,16,18,19,3.533333333
GP,M,15,3,4,1,2,yes,yes,yes,5,1,5,0,14,15,15,2.933333333
GP,F,15,4,4,1,2,yes,no,yes,3,3,2,0,10,8,9,1.8
GP,F,15,2,1,3,3,yes,yes,yes,5,2,4,4,10,12,12,2.266666667
GP,M,15,4,4,1,1,yes,yes,yes,4,3,5,2,14,14,14,2.8
GP,M,15,4,3,2,2,yes,no,yes,5,3,3,2,10,10,11,2.066666667
GP,M,15,2,2,1,3,yes,no,yes,4,2,3,0,14,16,16,3.066666667
GP,F,16,4,4,1,1,yes,no,yes,4,4,2,4,14,14,14,2.8
GP,F,16,4,4,1,3,yes,yes,yes,3,3,2,6,13,14,14,2.733333333
GP,F,16,3,3,3,2,yes,yes,no,5,2,4,4,8,10,10,1.866666667
GP,M,17,3,2,1,1,yes,yes,yes,5,5,5,16,6,5,5,1.066666667
GP,M,16,4,3,1,1,no,yes,yes,3,3,5,4,8,10,10,1.866666667
GP,M,15,4,3,1,2,no,no,yes,4,1,1,0,13,14,15,2.8
GP,M,15,4,4,1,1,yes,no,yes,5,2,5,0,12,15,15,2.8
GP,M,16,4,2,1,2,no,yes,yes,4,1,5,2,15,15,16,3.066666667
GP,M,16,2,2,2,2,yes,yes,yes,5,4,5,0,13,13,12,2.533333333
GP,F,15,2,4,1,3,yes,yes,yes,4,2,5,2,10,9,8,1.8
GP,F,16,2,2,1,1,yes,no,yes,1,2,5,14,6,9,8,1.533333333
GP,M,15,2,2,1,1,yes,no,yes,4,2,5,2,12,12,11,2.333333333
GP,M,15,4,2,1,1,no,no,yes,2,4,1,4,15,16,15,3.066666667
GP,M,16,3,4,1,2,yes,yes,yes,5,3,5,4,11,11,11,2.2
